书名,作者,出版社,ISBN,出版年,分类号,索书号,记录ID
江山胜迹诗行,翟培基,海南出版社,978-7-5443-2252-2,2007,I227,I227/59,97742
物流经营管理 : 理论、案例、制度、实务. 修订版,赵涛主,北京工业大学出版社,978-7-5639-1242-1,2006,F252,F252/93,97741
她们的立场 她们的倾向 : 女性知识分子现场,夏榆,中国妇女出版社,978-7-80203-499-0,2008,I253.4,I253.4/18,97740
乡村情怀,陈国清,中国言实出版社,978-7-5171-3214-1,2020,I247.57,I247.57/2595,9774
世界考古未解之谜 : 图文版,胡志峰，蒋祝平,光明日报出版社,7-80145-945-8,2005,K86-49,K86-49/8,97739
管理者胜任素质发展手册,严正，丁健雄,机械工业出版社,978-7-111-36127-5,2012,F272.91,F272.91/75,97738
人力资源开发与管理. 2版,赵曼，陈全明主,中国劳动社会保障出版社,978-7-5045-6318-7,2007,F241,F241/64,97737
生活中的经济学,朱广平,光明日报出版社,978-7-5112-1875-9,2012,F0-49,F0-49/42,97736
德鲁克的管理秘诀,张乃奎，崔雪梅,光明日报出版社,978-7-5112-1103-3,2011,C93,C93/112,97735
中华传统节日. 中秋节,张书菊,东北师范大学出版社,978-7-5602-7335-8,2011,K892.1,K892.1/13,97733
一生要知道的中国、世界历史100件事,陈枫,时事出版社,978-7-80232-114-4,2007,K105-49,K105-49/4,97732
大学英语四六级完全攻略系列. 六级阅读分册. 2版,赵亚翘主,机械工业出版社,978-7-111-32999-2,2011,H310.42,H310.42/54,97731
社会未解之谜,许海杰,西苑出版社,978-7-80210-753-3,2010,Z228.2,Z228.2/24,97730
别跟自己过不去 : 心理不失衡并免于自我伤害,三吉,台海出版社,978-7-5168-1651-6,2018,B821-49,B821-49/1087,9773
中文版Flash 8动画设计特训白金教程,苏风华主,成都时代出版社,978-7-80705-344-6,2006,TP391.41,TP391.41/463,97729
外国名著40部要领,崔佳,中国画报出版社,978-7-80220-471-3,2009,Z835,Z835/14,97728
塑料制品成型材料,周殿明,机械工业出版社,978-7-111-35747-6,2011,TQ320.4,TQ320.4/2,97727
一生要认识的100位诺贝尔文学奖得主,黄峻菠,时事出版社,7-80009-971-7,2006,K109,K109/45,97726
一生要克服的100种无谓生气,黄峻菠,时事出版社,978-7-80232-017-8,2006,B842.6,B842.6/79,97725
国际商法,田东文主,机械工业出版社,978-7-111-23122-6,2008,D996.1,D996.1/23,97724
中国名人速读. 第2版,姚晓华,光明日报出版社,978-7-80145-936-7,2010,K82,K82/1,97723
男女本色,杨飞,中国工人出版社,978-7-5008-3976-7,2008,C913.1,C913.1/88,97722
营销批判,(英)杜雷顿·勃德(Drayton Bird),海南出版社,978-7-80700-155-3,2008,F713.50,F713.50/169,97721
世界500强企业品牌创新之道 : 创新·销售·顾客,"主金鸣, 张敏",北京出版社,7-200-06330-4,2006,F279.1,F279.1/57,97720
家范. [影印本],(宋)司马光撰,中国书店,978-7-5149-2057-4,2018,B823.1,B823.1/47,9772
竞争战略,(美)迈克尔·波特(Michael E. Porter),华夏出版社,978-7-5080-3509-3,2005,F274,F274/164,97719
高超的客户服务,"(美)罗恩·卡尔(RonKarr), (美)唐·布洛霍瓦科(DonBlohowiak)",辽宁教育出版社,7-5382-5522-2,1999,F274,F274/168,97718
路上有狼 : 一个经典凄美的爱情故事,何群仓,太白文艺出版社,7-80680-293-2,2006,I247.57,I247.57/541,97717
生命的北斗星,作者俞敏洪等,世界图书出版公司,7-5062-6685-7,2005,H09-53,H09-53/1,97716
大学毕业生综合素质测评,高兴,北京出版社,978-7-200-06782-8,2007,G647.38,G647.38/78,97715
60天攻克六级710分新题型.听力分册,江涛丛书主,石油工业出版社,978-7-5021-7118-6,2009,H319.6,H319.6/96,97714
她们的立场 她们的倾向 : 女性知识分子现场,夏榆,中国妇女出版社,978-7-80203-499-0,2008,I253.4,I253.4/18,97713
中国名人速读. 第2版,姚晓华,光明日报出版社,978-7-80145-936-7,2010,K82,K82/1,97712
房地产市场调研推广与定价策略,杨成贤,经济科学出版社,978-7-5058-7212-7,2008,F293.35,F293.35/27,97711
中国产业集群. 第7辑,顾强主,机械工业出版社,978-7-111-23622-1,2008,F424.4,F424.4/1,97710
巴金精品散文集,,郑州大学出版社,978-7-5645-5297-8,2018,I266,I266/246,9771
一生要培养的100个爱心善心 一生要培养的100个社会公德心,赛格,时事出版社,7-80009-983-0,2006,D648.3-49,D648.3-49/3,97709
哲海中的浪花,朱如葆,海风出版社,7-80597-634-1,2006,B-49,B-49/9,97708
一生要学会的100种礼仪 一生要学会的100种沟通,碧泠,时事出版社,7-80009-963-6,2006,K891.26,K891.26/31,97707
米罗,石海波，崔庆忠,人民美术出版社,7-102-02581-5,2002,K835.515.72=535,K835.51/4,97706
不花钱的员工激励12法,席宗龙,机械工业出版社,978-7-111-37177-9,2012,F272.92,F272.92/222,97705
小故事 大道理,高格,光明日报出版社,978-7-80145-991-6,2005,B821-49,B821-49/397,97704
中国名著40部要领,崔佳,中国画报出版社,978-7-80220-472-0,2009,Z835,Z835/12,97703
梦幻守望者 : 我的父亲--塞林格,(美) 玛格丽特·塞林格,北京十月文艺出版社,7-5302-0786-5,2005,K837.12,K837.12/44,97702
乡音悠扬. 下,郭大卫,海风出版社,978-7-80597-185-8,2002,I267,I267/:1,97701
乡音悠扬. 下,郭大卫,海风出版社,978-7-80597-185-8,2002,I267,I267/:2,97700
中国地学诗歌双年选,胡红拴主,中国大地出版社,978-7-5200-0266-0,2018,I227,I227/456,9770
影响青年人一生的励志故事,翟文明,光明日报出版社,978-7-5112-1111-8,2011,I14,I14/88,97699
成功不仅靠勤奋,宿春礼,光明日报出版社,978-7-5112-1873-5,2012,B848.4,B848.4/623,97698
中国总经理工作手册. 质量手册,刘伟，刘国宁主笔,中国言实出版社,7-80128-498-4,2003,F279.23,F279.23/2,97697
妙言巧辩得天下,赵新平,黑龙江美术出版社,978-7-5318-1942-4,2007,H019-49,H019-49/71,97696
Microsoft Excel 2002标准教程. 自学手册,微软公司,中国劳动社会保障出版社,7-5045-3549-4,2002,TP391.13,TP391.13/43,97695
Microsoft SQL Server 2000自学教程,[美国]微软公司,中国劳动社会保障出版社,7-5045-3904-X,2003,TP311.13,TP311.13/111,97694
Visual Basic程序设计练习与上机指导,谭浩强主,华夏出版社,7-5080-4051-1,2006,TP312,TP312/62,97693
猜猜我是谁——个人素质综合测试,周文,印刷工业出版社,7-80000-437-6,2002,B841.7,B841.7/20,97692
猜猜我是谁——个人素质综合测试,周文,印刷工业出版社,7-80000-437-6,2002,B841.7,B841.7/20,97691
剑桥商务英语(BEC)核心词汇. 初级、中级,出国留学考试学习中心,中国石化出版社,978-7-5114-0516-6,2010,H313.1,H313.1/119,97690
大海商,陈子铭,中国华侨出版社,978-7-5113-7842-2,2019,I25,I25/643,9769
按技术分配 : 理论与实践,刘海生,中国财政经济出版社,7-5005-8893-3,2006,F062.4,F062.4/13,97689
家兔高效养殖关键技术,张庆德，熊家军，刘兴斌,化学工业出版社,978-7-122-07154-5,2010,S829.1,S829.1/2,97688
帝国政界往事. 大明王朝纪事,李亚平,北京出版社,7-200-06175-1,2005,K220.7,K220.7/4,97687
建筑业灾害预警管理,周厚贵等,河北科学技术出版社,7-5375-2614-1,2004,TU714,TU714/11,97686
新丝绸之路 : 跨国公司老板眼中的中国市场,"( )约翰·史塔德,张江波",中国对外经济贸易出版社,7-80004-854-3,2000,F279.1,F279.1/55,97685
建设项目质量监控,顾慰慈,中国建材工业出版社,7-80159-388-X,2003,TU712,TU712/28,97684
保护人类生存环境是我们共同的责任,王运思主,中国环境科学出版社,978-7-80209-596-0,2007,X24,X24/4,97683
轻松学Photoshop数码照片处理,九天科技,中国铁道出版社,978-7-113-12607-0,2011,TP391.41,TP391.41/470,97682
数据库管理,胡铮主,华夏出版社,978-7-5080-3876-6,2006,TP311.138,TP311.138/21,97681
先进航空电子综合技术,熊华钢，王中华,国防工业出版社,978-7-118-06089-8,2009,V242,V242/1,97680
芸汐传奇 : 携手共山河. 下,芥沫,百花洲文艺出版社,978-7-5500-2905-7,2018,I247.57,I247.57/2594:2,9768
中老年学电脑,杰创文化,科学出版社,978-7-03-026921-8,2010,TP3,TP3/352,97679
一幅画的诞生,朱朱,新星出版社,978-7-80225-862-4,2010,J212.052,J212.052/26,97678
伤寒论,(汉)张仲景,学苑出版社,978-7-5077-2854-5,2007,R222.22,R222.22/3,97677
不做需要工作的人，请做工作需要的人,张竞,机械工业出版社,978-7-111-23104-2,2008,B026-49,B026-49/9,97676
3000年乐园. 下,王逢振主,大众文艺出版社,7-80094-207-4,2000,I14,I14/77:2,97675
新疆少数民族服饰与节庆 : 汉英对照,马雄福等,中国旅游出版社,978-7-5032-3466-8,2008,K892-64,K892-64/1,97674
非常迷狂 : 身体自有主张,王淼,山东友谊出版社,978-7-80642-974-7,2006,I106,I106/14,97673
中国帝师传,冯瑞珍主,中国人事出版社,978-7-80189-539-4,2006,K827=2,K827=2/8,97672
铁军执行力,高岩,机械工业出版社,978-7-111-27996-9,2009,F270,F270/348,97671
论谢晋电影,陈剑雨主,中国电影出版社,978-7-106-01384-4,1998,J911,J911/10,97670
芸汐传奇 : 携手共山河. 上,芥沫,百花洲文艺出版社,978-7-5500-2905-7,2018,I247.57,I247.57/2594:1,9767
人力资本与媒介人力资源管理开发研究,向志强,湖南大学出版社,7-81113-024-6,2006,G206.2,G206.2/23,97669
路上有狼 : 一个经典凄美的爱情故事,何群仓,太白文艺出版社,7-80680-293-2,2006,I247.57,I247.57/541,97668
室内装饰设计与课程设计题型解析,赵青,中国建材工业出版社,978-7-80227-222-4,2008,TU238,TU238/26,97667
应用数学教程,张慧颖，周成林主,西北农林科技大学出版社,978-7-81092-407-8,2008,O29,O29/10,97666
